Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;30/11/2000;3,38;ESP000024767;;ARTES MENORES EN EL MEDITERRANEO;24767;9,24 m;Alta Definitiva (desde el 30/11/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/12549;Poliester;3MH-1-1-00;KARI;92,65 kW (126,0 CV);52400 - Villajoyosa, ALICANTE/ALACANT (COMUNITAT VALENCIANA);
Secretaría General de Pesca;10/05/1989;0,59;ESP000001929;;ARTES MENORES EN EL MEDITERRANEO;1929;5,10 m;Baja Definitiva (desde el 25/04/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1373;Poliester;3MH-1-432;KON TIKI II;8,83 kW (12,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;2,51;ESP000013597;;ARTES MENORES EN EL MEDITERRANEO;13597;0,00 m;Baja Definitiva (desde el 17/12/1998);-;-;;Madera;3MH-1-440;LA PALOMA;22,80 kW (31,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,78;ESP000001931;;ARTES MENORES EN EL MEDITERRANEO;1931;5,90 m;Baja Definitiva (desde el 02/09/2015);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1374;Poliester;3MH-1-473;LEGASA;25,01 kW (34,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,73;ESP000012243;;ARTES MENORES EN EL MEDITERRANEO;12243;4,80 m;Baja Definitiva (desde el 05/07/2001);-;-;;Madera;3MH-1-320;LIJUMA;23,54 kW (32,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,97;ESP000054566;;-;54566;0,00 m;Baja Definitiva (desde el 17/12/1998);-;-;;Poliester;3MH-1-388;LITO;7,35 kW (10,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,32;ESP000054569;;ARTES MENORES EN EL MEDITERRANEO;54569;0,00 m;Baja Definitiva (desde el 19/03/2001);-;-;;Madera;3MH-1-268;LOBO DE MAR;5,15 kW (7,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,52;ESP000008283;;ARTES MENORES EN EL MEDITERRANEO;8283;4,30 m;Baja Definitiva (desde el 05/05/2000);-;-;;Poliester;3MH-1-302;LORENZO;11,03 kW (15,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,01;ESP000001949;;PALANGRE DE FONDO EN EL MEDITERRANEO;1949;6,21 m;Baja Definitiva (desde el 04/10/2004);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1388;Poliester;3MH-1-488;LOS DEVEZA;35,30 kW (48,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,59;ESP000021694;;ARTES MENORES EN EL MEDITERRANEO;21694;0,00 m;Baja Definitiva (desde el 08/05/1998);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9538;Poliester;3MH-1-506;LUMI;11,77 kW (16,0 CV);73200 - Mahón, ILLES BALEARS;
