CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
POL012001568;;POL;;;38.00;0.00;0.00;;17.40;15.14;<NO NAME GIVEN>;PL01568;DZI-56;;;Y;SPS2159;N;;;;;FX;;GNS, LLS;121.00;0.00;Metal;;1951-07-14;MFL;1951-01-01;2005-01-10;
POL012001570;;POL;;;11.01;15.06;0.00;;11.98;10.82;;PL01570;DZI-57;;;Y;SPS2146;N;N;N;;;FX;;GNS, LLS, LLD;70.00;0.00;Metal;;1991-09-30;MFL;1991-01-01;2016-12-29;
POL012001571;;POL;;;12.89;16.71;0.00;;11.48;9.94;<NO NAME GIVEN>;PL01571;DZI-66;;;Y;SPS2155;N;;;;;FX;;GNS, LLS;70.00;0.00;Metal;;1992-03-25;MFL;1991-01-01;2006-05-24;
POL012001572;;POL;;;42.00;37.03;0.00;;17.57;15.21;<NO NAME GIVEN>;PL01572;DZI-47;;;Y;SPS2151;N;;;;;FX;;GNS, LLS;110.00;0.00;Metal;;1950-01-01;MFL;1950-01-01;2009-09-01;
POL012001573;;POL;;;32.00;39.23;0.00;;17.78;15.14;<NO NAME GIVEN>;PL01573;DZI-48;;;Y;SPS2084;N;;;;;FX;;GNS, LLS;121.00;0.00;Metal;;1958-12-29;MFL;1958-01-01;2005-06-02;
POL012001574;;POL;;;63.00;0.00;21.00;;18.51;15.41;No name;PL01574;KOŁ-92;;;Y;SPS2075;Y;Y;N;;;FX;;OTB, LHP, PTB, PTM, OTM;121.00;0.30;Metal;;1964-12-18;MFL;1964-01-01;;
POL012001575;;POL;;;6.49;0.00;0.00;;9.40;8.88;<NO NAME GIVEN>;PL01575;DZI-51;;;N;;N;;;;;FX;;GNS, LLS;62.50;0.00;Wood;;1991-02-06;MFL;1991-01-01;2005-01-10;
POL012001576;261000740;POL;;;11.90;16.68;0.00;;11.98;11.06;No name;PL01576;DZI-54;Dziwnów;;Y;SPS2147;N;N;Y;;;GO;;GNS, FPO, LLS, LLD;70.00;0.00;Metal;;1991-01-01;MFL;1991-01-01;;
POL012001577;;POL;;;10.90;0.00;0.00;;12.30;11.25;<NO NAME GIVEN>;PL01577;DZI-69;;;Y;SPS2341;N;;;;;FX;;GNS, LLS;70.00;0.00;Metal;;1966-12-31;MFL;1966-01-01;2005-12-12;
POL012001578;;POL;;;6.79;0.00;0.00;;8.83;8.20;<NO NAME GIVEN>;PL01578;DZI-73;;;N;;N;;;;;FX;;GNS, LLS;57.00;0.00;Wood;;1965-04-08;MFL;1950-01-01;;2008-01-21
POL012001579;;POL;;;8.04;0.00;0.00;;10.50;9.67;<NO NAME GIVEN>;PL01579;DZI-75;;;N;;N;;;;;FX;;GNS, LLS;38.20;0.00;Wood;;1990-06-22;MFL;1989-01-01;;2007-11-14
POL012001580;;POL;;;11.55;0.00;0.00;;11.16;9.85;<NO NAME GIVEN>;PL01580;DZI-77;;;Y;SPS2260;N;;;;;FX;;GNS, LLS;70.00;0.00;Metal;;1996-02-23;MFL;1996-01-01;;2007-10-26
POL012001581;;POL;;;10.39;0.00;0.00;;10.20;9.27;No name;PL01581;DZI-80;Dziwnów;;Y;SPS2278;N;N;N;;;FX;;GNS, LLS, OTB;57.00;0.00;Metal;;1991-02-18;MFL;1990-01-01;2025-02-20;
POL012001582;;POL;;;9.96;0.00;0.00;;10.54;9.50;<NO NAME GIVEN>;PL01582;DZI-81;;;N;;N;;;;;FX;;GNS, LLS;70.00;0.00;Metal;;1985-04-10;MFL;1985-01-01;2006-07-04;
POL012001583;261010820;POL;;;52.00;42.13;12.00;;18.52;15.37;No name;PL01583;DZI-85;;;Y;SPG2869;Y;Y;Y;;;TTW;;OTB, GNS, LLD, OTM, LLS, PTM;133.00;3.36;Metal;;1963-08-10;MFL;1963-01-01;;
