CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
BGR001023419;;BGR;;;17.68;0.00;0.00;;11.00;0.00;"""""СВЕТИ НИКОЛА 2""""""""""""";3419;ВН3419;Varna;;Y;LZVK9;N;N;N;;;FX;;GNS, LHP;88.26;0.00;Wood;;1997-07-31;MFL;1985-01-01;2012-02-08;
BGR001023420;;BGR;;;0.46;0.00;0.00;;5.25;0.00;ВН3420;3420;ВН3420;Varna;;N;;N;N;N;;;FX;;GNS, LHM;1.84;0.00;Wood;;1971-01-01;MFL;1971-01-01;;2009-06-19
BGR001023421;;BGR;;;0.73;0.00;0.00;;4.60;0.00;ВН3421;3421;ВН3421;Varna;;N;;N;N;N;;;FX;;GNS, GND;0.00;0.00;Fiber/Plastic;;1996-05-10;MFL;1996-01-01;;
BGR001023422;;BGR;;;0.53;0.00;0.00;;5.80;0.00;ВН3422;3422;ВН3422;Varna;;N;;N;N;N;;;FX;;GNS, GND;3.68;0.00;Wood;;1968-01-01;MFL;1968-01-01;;2019-10-18
BGR001023428;;BGR;;;3.68;0.00;0.00;;8.20;0.00;ДЖАМБИ;3428;ВН3428;Varna;;N;;Y;N;N;;;FX;;GNS, NO;58.84;0.00;Wood;;1967-01-01;MFL;1967-01-01;;2017-09-25
BGR001023429;;BGR;;;0.54;0.00;0.00;;5.80;0.00;ВН3429;3429;ВН3429;Varna;;N;;N;N;N;;;FX;;GNS;4.71;0.00;Wood;;2003-09-09;MFL;1968-01-01;;2014-11-27
BGR001023431;;BGR;;;0.51;0.00;0.00;;5.50;0.00;ВН3431;3431;ВН3431;Varna;;N;;N;N;N;;;FX;;LHM;4.00;0.00;Wood;;1973-01-01;MFL;1973-01-01;;2016-01-14
BGR001023433;;BGR;;;3.67;0.00;0.00;;9.05;8.00;ДЖУДИ;1430;Сз1430;Burgas;;N;;N;N;N;;;FX;;GNS, LHP;33.10;0.00;Wood;;2006-06-12;MFL;2006-01-01;;
BGR001023435;;BGR;;;0.19;0.00;0.00;;3.00;0.00;ВН3435;3435;ВН3435;Varna;;N;;N;N;N;;;FX;;GNS, GND;3.68;0.00;Fiber/Plastic;;1986-01-01;MFL;1986-01-01;;2024-12-06
BGR001023436;;BGR;;;13.78;0.00;0.00;;12.20;11.50;АСТЕРА;716;НС 716;Nesebar;;N;;N;N;N;;;FX;;GNS, LHP;88.26;0.00;Metal;;2010-03-23;MFL;1999-01-01;2013-12-20;
