CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
PRT000019432;;PRT;;;0.93;1.69;0.00;;5.80;0.00;PRECIOSA;TR-1462-L;TR-1462-L;;;N;;N;;;;;FX;;GNS, GTR;29.83;0.00;Fiber/Plastic;;1992-08-13;MFL;1992-01-01;2004-05-13;
PRT000019433;;PRT;;;0.99;1.86;0.00;;4.90;0.00;TIAGO JORGE;E-370-L;E-370-L;United Kingdom;;N;;N;;;;;FX;;GNS, FPO;45.00;0.00;Fiber/Plastic;;1992-08-01;MFL;1992-01-01;2005-02-15;
PRT000019434;;PRT;;;0.97;1.75;0.00;;5.36;0.00;IRMAOS UNIDOS;F-903-L;F-903-L;United Kingdom;;N;;N;;;;;FX;;FPO, NO;29.00;0.00;Fiber/Plastic;;1992-06-24;4K1;1992-01-01;2000-09-19;
PRT000019435;;PRT;;;1.41;2.18;0.00;;6.05;0.00;ANA E LEONEL;T-349-L;T-349-L;Finland;;N;;N;;;;;FX;;GNS, NO;29.42;0.00;Fiber/Plastic;;1992-08-03;4K1;1992-01-01;2002-09-13;
PRT000019436;;PRT;;;0.56;0.93;0.00;;4.68;0.00;RINCH�O;PE-2504-L;PE-2504-L;United Kingdom;;N;;N;;;;;FX;;LHP;22.10;0.00;Fiber/Plastic;;1992-04-21;MFL;1992-01-01;2014-04-09;
PRT000019437;263436570;PRT;;;1.23;1.60;0.00;;5.80;5.26;VAMOS VIVENDO;PTFUZ-113795-L;PTFUZ-113795-L;Fuzeta;;Y;CUJP4;N;N;Y;;;MOX;;FPO, NO;41.00;0.00;Fiber/Plastic;;1992-01-07;MFL;1992-01-01;;
PRT000019438;263437370;PRT;;;1.47;2.21;0.00;;6.25;0.00;DINIS FILIPE;PTLEI-113794-L;PTLEI-113794-L;Leixões;;Y;CUDI8;N;N;Y;;;MOX;;GNS, FPO;18.40;0.00;Wood;;1992-07-27;MFL;1992-01-01;;
PRT000019439;;PRT;;;2.56;3.99;0.00;;7.20;0.00;TRES IRMAS;L-2005-L;L-2005-L;Finland;;N;;N;;;;;FX;;GNS, GND;29.00;0.00;Wood;;1992-08-14;4K1;1992-01-01;2001-09-22;
PRT000019440;;PRT;;;0.57;0.94;0.00;;4.05;0.00;ATALAIA;LG-64-L;LG-64-L;;;N;;N;;;;;FX;;LHP, NO;7.00;0.00;Fiber/Plastic;;1992-09-03;4K1;1992-01-01;;2001-08-20
PRT000019441;;PRT;;;1.77;3.08;0.00;;6.30;0.00;AFRODITE;TR-1397-L;TR-1397-L;;;N;;N;;;;;FX;;GNS, FPO;44.00;0.00;Wood;;1992-07-31;MFL;1992-01-01;;2004-06-04
PRT000019442;;PRT;;;0.86;1.31;0.00;;5.55;0.00;MANELMAR;N-2465-L;N-2465-L;United Kingdom;;N;;N;;;;;FX;;GNS, NO;11.00;0.00;Fiber/Plastic;;1992-09-14;4K1;1992-01-01;2001-11-20;
