CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
ITA000016384;;ITA;;;5.74;6.05;0.00;;10.50;0.00;LEGERON;00TS00050;00TS00050;Trieste;;N;;N;;;;;FX;;PS, LLS;55.10;0.00;Wood;;1977-03-28;MFL;1961-01-01;;2003-03-21
ITA000016385;;ITA;;;8.00;9.83;0.00;;11.92;10.18;G&D;00TS00053;00TS00053;Trieste;;Y;IFBV2;N;;;;;FX;;PS, GNS;84.50;0.00;Wood;;1977-03-31;MFL;1975-01-01;;
ITA000016386;;ITA;;;3.00;4.70;0.00;;8.80;8.62;ATENA;00TS00054;00TS00054;Trieste;;Y;IORU;N;;;;;FX;;LLS, GNS;63.00;0.00;Wood;;1977-03-31;MFL;1957-01-01;2006-11-30;
ITA000016387;;ITA;;;5.98;6.30;0.00;;9.00;0.00;VENERE;00TS00057;00TS00057;Trieste;;N;;N;;;;;FX;;LLS, GNS;42.60;0.00;Wood;;1977-04-02;MFL;1972-01-01;;2003-03-24
ITA000016388;;ITA;;;11.00;9.76;0.00;;12.33;12.15;CONSUELO;00TS00060;00TS00060;Trieste;;N;;N;;;;;FX;;PS, GNS;96.00;0.00;Wood;;1977-04-21;MFL;1973-01-01;2005-03-03;
ITA000016389;;ITA;;;7.00;9.94;0.00;;10.20;9.94;S. ANTONIO;00TS00071;00TS00071;Trieste;;Y;IZZK;N;;;;;FX;;PS, GNS;95.50;0.00;Wood;;1977-05-21;MFL;1970-01-01;;
ITA000016390;;ITA;;;0.00;6.13;0.00;;9.19;0.00;SABRINA;03VE00817;03VE00817;Caorle;;N;;N;;;;;FX;;GNS, NO;80.90;0.00;Wood;;1977-06-08;C18;1964-01-01;;1995-06-06
ITA000016391;;ITA;;;2.00;2.84;0.00;;7.15;6.97;MAURO;00TS00101;00TS00101;Trieste;;N;;N;;;;;FX;;GNS, NO;8.00;0.00;Wood;;1977-11-05;MFL;1972-01-01;;
ITA000016392;;ITA;;;1.00;2.89;0.00;;6.60;6.30;LICIA;00TS00108;00TS00108;Trieste;;N;;N;;;;;FX;;GNS, LHP;13.23;0.00;Wood;;1977-11-22;MFL;1976-01-01;;
ITA000016393;;ITA;;;0.00;0.58;0.00;;3.80;0.00;ANNA MARIA;00TS00139;00TS00139;Trieste;;N;;N;;;;;FX;;LLS, GNS;2.20;0.00;Wood;;1978-02-07;4H4;1945-01-01;1997-09-04;
