CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
DEU404630101;;DEU;;;1.00;2.22;0.00;;5.60;0.00;MAREIKE;MEL2;MEL2;Meldorf;;N;;N;;;;;TUB;;TBB, GNS;7.00;0.00;Wood;;1996-10-21;4CZ;1996-01-01;;1999-07-20
DEU404640128;;DEU;;;2.00;0.00;0.00;;6.29;0.00;MIKKEL;BRU17;BRU17;Brunsbüttel;;N;;N;;;;;TUB;;TBB, GNS;22.00;0.00;Wood;;1996-10-21;MFL;1975-01-01;;2006-03-22
DEU404670101;;DEU;;;5.00;5.00;0.00;;9.14;0.00;ORKA;BUES250;BUES250;Büsum;;N;;N;;;;;TUB;;TBB, FPO;26.00;0.00;Fiber/Plastic;;1996-05-29;4CZ;1978-01-01;;2001-03-13
DEU404680107;;DEU;;;3.00;0.00;0.00;;7.98;7.00;De Luettje;BUES1;BUES1;Büsum;;N;;N;N;N;;;TU;;TBB, GNS;110.00;0.00;Wood;;1996-06-12;MFL;1996-01-01;;
DEU404690448;;DEU;;;1.00;1.88;0.00;;5.16;0.00;STRANDVOGT;SEE255;SEE255;;;N;;N;;;;;FX;;FPO, GNS;4.00;0.00;;;1996-06-17;4CZ;;;2002-09-10
DEU404700128;;DEU;;;1.00;1.00;0.00;;4.30;0.00;STEFAN;BRU258;BRU258;;;N;;N;;;;;FX;;FPO, GNS;7.00;0.00;;;1996-07-01;Z25;;;1996-12-10
DEU404710129;;DEU;;;1.00;1.37;0.00;;4.40;0.00;DORSCH;FLE15;FLE15;;;N;;N;;;;;FX;;GNS, FPO;4.00;0.00;Fiber/Plastic;;1996-06-27;MFL;1993-01-01;;2005-05-02
DEU404720119;;DEU;;;1.00;0.00;0.00;;5.50;0.00;BISAM;BIE252;BIE252;;;N;;N;;;;;FX;;FPO, GNS;7.00;0.00;Metal;;1996-06-15;MFL;1972-01-01;;2005-08-18
DEU404730119;;DEU;;;3.00;2.90;0.00;;6.40;0.00;ELVDUEVEL;BIE251;BIE251;;;N;;N;;;;;FX;;FPO, GNS;9.00;0.00;Fiber/Plastic;;1996-06-01;MFL;1981-01-01;;
DEU404740107;;DEU;;;3.00;0.00;0.00;;7.95;0.00;INJA;FRI254;FRI254;;;N;;N;;;;;FX;;TBB, FPO;24.00;0.00;Fiber/Plastic;;1996-06-03;MFL;1996-01-01;;2005-12-21
DEU404750101;;DEU;;;1.00;0.00;0.00;;4.98;0.00;STEFAN;BUES253;BUES253;Büsum;;N;;N;;;;;TUB;;TBB, FPO;26.00;0.00;Fiber/Plastic;;1996-06-29;MFL;1996-01-01;;2007-01-10
DEU404760120;;DEU;;;1.00;1.13;0.00;;4.00;0.00;ACHTERUT;UET256;UET256;;;N;;N;;;;;FX;;FPO, NO;6.00;0.00;;;1996-06-07;C10;;;1996-12-10
DEU404770133;;DEU;;;1.00;0.97;0.00;;3.72;0.00;FINN;WEW260;WEW260;;;N;;N;;;;;FX;;FPO, NK;8.00;0.00;;;1996-08-26;4CZ;;;1998-06-15
DEU404780103;;DEU;;;1.00;2.42;0.00;;5.85;0.00;STURMVOGEL;GLUE256;GLUE256;;;N;;N;;;;;FX;;GNS, FPO;6.00;0.00;;;1996-09-04;4CZ;;;1997-03-11
DEU404790133;;DEU;;;1.00;1.13;0.00;;4.00;0.00;CHRISTIAN;WEW259;WEW259;;;N;;N;;;;;FX;;FPO, GNS;6.00;0.00;;;1996-08-26;4CZ;;;2002-12-30
DEU404800133;;DEU;;;1.00;1.00;0.00;;3.70;0.00;FEIVEL;WEW261;WEW261;;;N;;N;;;;;FX;;FPO, GNS;4.00;0.00;;;1996-10-16;4CZ;;;2001-10-22
DEU404810120;;DEU;;;1.00;2.40;0.00;;5.80;0.00;ERIKA;HAS2;HAS2;;;N;;N;;;;;FX;;FPO, GNS;19.00;0.00;Fiber/Plastic;;1996-08-21;MFL;1993-01-01;;2008-06-01
DEU404820119;;DEU;;;1.00;0.00;0.00;;5.50;0.00;BUTT;KOL1;KOL1;;;N;;N;;;;;FX;;GNS, FPO;8.00;0.00;Fiber/Plastic;;1996-10-21;MFL;1996-01-01;;2006-09-25
DEU404840119;;DEU;;;1.00;0.00;0.00;;5.00;0.00;LETTA;KOL2A;KOL2A;;;N;;N;;;;;FX;;FPO, GNS;37.00;0.00;Fiber/Plastic;;1999-03-24;MFL;1992-01-01;;2012-07-26
DEU404850133;;DEU;;;1.00;0.00;0.00;;4.00;0.00;FINN;WEW260;WEW260;;;N;;N;;;;;FX;;FPO, NK;8.00;0.00;Fiber/Plastic;;1998-06-03;MFL;1965-01-01;;2005-12-13
DEU404870133;;DEU;;;1.00;0.00;0.00;;4.05;0.00;HEIN;WEW301;WEW301;;;N;;N;;;;;FX;;FPO, GNS;7.00;0.00;Wood;;1985-12-31;MFL;1985-01-01;;2007-09-28
DEU404880141;;DEU;;;1.00;0.00;0.00;;4.00;0.00;SPEEDY;HAS1A;HAS1A;;;N;;N;;;;;FX;;FPO, GNS;7.00;0.00;;;1999-03-30;4CZ;;;1999-04-01
DEU404890119;;DEU;;;1.00;0.00;0.00;;4.99;0.00;JONNY;KOL11A;KOL11A;;;N;;N;N;N;;;WOP;;FPO, GNS;37.00;0.00;Fiber/Plastic;;1999-04-01;MFL;1998-01-01;;2020-10-30
DEU404900130;;DEU;;;1.00;0.00;0.00;;5.10;0.00;STURMVOGEL;MEL2;MEL2;Meldorf;;N;;N;;;;;TUB;;TBB, GNS;7.00;0.00;Fiber/Plastic;;1999-07-06;MFL;1999-01-01;;2005-12-07
DEU404910109;;DEU;;;1.00;0.00;0.00;;4.00;0.00;ANJA;SEE300;SEE300;Seester;;N;;N;N;N;;;GO;;GNS, FPO;4.00;0.00;Fiber/Plastic;;1999-12-14;MFL;1999-01-01;;
DEU404920133;;DEU;;;1.00;0.00;0.00;;3.82;0.00;FEIVEL;WEW261;WEW261;;;N;;N;;;;;FX;;FPO, GNS;4.00;0.00;Fiber/Plastic;;2001-10-11;MFL;1984-01-01;;
DEU404930131;;DEU;;;2.00;0.00;0.00;;8.50;0.00;TINA;NEU3;NEU3;Neufeld;;N;;N;N;N;;;TU;;TBB, GNS;36.00;0.00;Metal;;2002-06-01;MFL;2002-01-01;;
DEU404940131;;DEU;;;1.00;0.00;0.00;;4.65;0.00;DELPHIN;NEU4;NEU4;;;N;;N;;;;;FX;;FPO, GNS;11.00;0.00;Fiber/Plastic;;2003-05-06;MFL;1996-01-01;;2008-05-21
DEU404950130;;DEU;;;1.00;0.00;0.00;;5.00;0.00;MARTIN C.;MEL1;MEL1;;;N;;N;;;;;FX;;GNS, OTB;37.00;0.00;Fiber/Plastic;;2003-06-23;MFL;1989-01-01;;2012-08-20
DEU404970101;;DEU;;;1.00;0.00;0.00;;4.30;0.00;LARISSA;BUES6;BUES6;;;N;;N;;;;;FX;;GNS, FPO;24.00;0.00;Fiber/Plastic;;2007-07-30;MFL;1984-01-01;;2016-05-11
DEU404980101;;DEU;;;2.00;0.00;0.00;;6.54;0.00;LÃ¼TTEN STEFFI;BUES1;BUES1;;;N;;N;;;;;FX;;TBB, FPO;26.00;0.00;Fiber/Plastic;;2010-05-21;MFL;1970-01-01;;2014-09-10
DEU404990119;;DEU;;;1.00;0.00;0.00;;6.23;0.00;Stint II;KOL5;KOL5;;;N;;N;N;N;;;GO;;GNS, FPO;12.00;0.00;Fiber/Plastic;;2010-10-11;MFL;1986-01-01;;2018-08-02
DEU405000103;;DEU;;;1.00;0.00;0.00;;5.28;0.00;GELA;GLUE6;GLUE6;;;N;;N;;;;;FX;;FPO, GNS;12.00;0.00;Fiber/Plastic;;2014-01-01;MFL;1993-01-01;;2014-07-30
DEU405010103;;DEU;;;1.00;0.00;0.00;;4.60;0.00;GELA;GLUE6;GLUE6;;;N;;N;N;N;;;GO;;FPO, GNS;37.00;0.00;Fiber/Plastic;;2014-08-01;MFL;1988-01-01;;
DEU405020106;;DEU;;;3.00;0.00;0.00;;7.92;0.00;KEEM WEER;HEL3;HEL3;Helgoland;;N;;N;N;N;;;GO;;FPO, GNS;53.00;0.00;Fiber/Plastic;;2015-09-09;MFL;1989-01-01;;2025-07-10
DEU405030101;211801150;DEU;;;373.00;0.00;0.00;;31.97;0.00;Amrumbank;SC10;SC10;Büsum;;Y;DJUN;Y;Y;Y;9833046;;TTW;;OTB, SSC;749.00;670.00;Metal;;2018-09-07;MFL;2017-03-09;;
DEU405040101;211806460;DEU;;;150.00;0.00;0.00;;23.98;20.59;Ora et Labora;SC28;SC28;Büsum;;Y;DISY;Y;Y;Y;9826756;;TTP;;OTB, TBB;221.00;160.00;Metal;;2018-07-23;MFL;2018-01-01;;
DEU405050106;;DEU;;;5.00;0.00;0.00;;9.20;0.00;KÄPTN IGLO;HEL31;HEL31;;;Y;DB9209;N;N;N;;;WOP;;FPO, GNS;92.00;0.00;Other;;2019-04-01;MFL;1966-01-01;;
DEU405060119;;DEU;;;1.00;0.00;0.00;;5.20;0.00;JONNY;KOL11A;KOL11A;;;N;;N;N;N;;;GO;;FPO, GNS;29.00;0.00;Fiber/Plastic;;2020-10-30;MFL;2020-03-01;;
DEU405070119;;DEU;;;1.00;0.00;0.00;;5.65;0.00;TOLK;KOL6;KOL6;Kollmar;;N;;N;N;N;;;GO;;FPO, GNS;22.00;0.00;Metal;;2025-03-11;MFL;2022-01-01;;
DEU500010115;;DEU;;;1.00;2.54;0.00;;6.00;0.00;---;HEN1;HEN1;;;N;;N;;;;;FX;;GNS, NO;2.00;0.00;Wood;;1991-12-31;MFL;1940-01-01;;2004-09-14
DEU500020115;;DEU;;;1.00;0.00;0.00;;6.05;0.00;INGRID;HEN2;HEN2;Hennstedt;;N;;N;N;N;;;GO;;GNS, FPO;19.00;0.00;Wood;;1978-03-15;MFL;1978-01-01;;
DEU500030115;;DEU;;;2.00;0.00;0.00;;7.50;0.00;---;HEN3;HEN3;;;N;;N;N;N;;;GO;;GNS, NO;7.00;0.00;Metal;;1978-05-01;MFL;1978-01-01;;2018-05-11
DEU500040115;;DEU;;;1.00;0.00;0.00;;6.00;0.00;---;HEN4;HEN4;Hennstedt;;N;;N;N;N;;;GO;;GNS, FPO;0.00;0.00;Wood;;1958-01-01;MFL;1934-01-01;;
DEU500050115;;DEU;;;1.00;0.00;0.00;;5.65;0.00;---;HEN5;HEN5;Hennstedt;;N;;N;N;N;;;GO;;GNS, FPO;4.00;0.00;Wood;;1954-09-01;MFL;1948-01-01;;
DEU500060115;;DEU;;;1.00;0.00;0.00;;5.80;0.00;---;HEN8;HEN8;;;N;;N;N;N;;;GO;;GNS, NO;0.00;0.00;Wood;;1978-06-01;MFL;1978-01-01;;2018-05-11
DEU500070115;;DEU;;;1.00;0.00;0.00;;6.10;0.00;---;HEN12;HEN12;Hennstedt;;N;;N;N;N;;;GO;;GNS, FPO;4.00;0.00;Wood;;1987-04-01;MFL;1963-01-01;;
DEU500080105;;DEU;;;5.00;8.04;0.00;;9.64;9.31;PALOMA;BUES15;BUES15;Büsum;;Y;DJET;N;;;;;TUB;;TBB, OTB;74.00;0.00;Fiber/Plastic;;1978-08-15;4C5;1978-01-01;;1999-11-16
DEU500090105;;DEU;;;0.00;16.05;0.00;;14.07;0.00;PORNSTROM;TOEN4;TOEN4;;;Y;DJGD;N;;;;;FX;;TBB, NO;88.00;0.00;;;1960-04-01;4;;;1993-06-30
DEU500110105;;DEU;;;0.00;24.44;0.00;;15.25;0.00;CAPELLA II;TOEN32;TOEN32;Tönning;;Y;DJFS;N;;;;;TUB;;TBB, NO;165.00;0.00;Wood;;1965-01-01;C11;1965-01-01;;1994-01-12
DEU500120105;211773410;DEU;;;37.00;0.00;0.00;;16.60;15.25;DAVY JONES;SD16;SD16;Friedrichskoog;;Y;DJEZ;Y;Y;Y;;;TU;;TBB, NK;190.00;0.00;Wood;;1960-04-01;MFL;1960-01-01;;
DEU500130105;218299000;DEU;;;76.00;0.00;0.00;;25.27;0.00;BOREAS;ST2;ST2;Tönning;;Y;DJBC;Y;Y;Y;8528917;;TU;;TBB, OTM;221.00;0.00;Metal;;1976-05-27;MFL;1961-01-01;;2024-06-18
DEU500140105;211414290;DEU;;;42.00;0.00;0.00;;18.54;15.85;Irmgard-Marie;ACC6;ACC6;Accumersiel;;Y;DJBB;Y;Y;Y;;;TU;;TBB, OTB;221.00;0.00;Metal;;1964-01-01;MFL;1964-01-01;;
DEU500150105;;DEU;;;47.00;0.00;0.00;;20.57;17.68;FRIESLAND;ST5;ST5;Tönning;;Y;DJDU;Y;Y;Y;;;TUB;;TBB, NO;176.00;0.00;Metal;;1963-12-07;MFL;1959-01-01;;
DEU500160105;;DEU;;;0.00;29.15;0.00;;15.98;0.00;NIS RANDERS;ST6;ST6;Tönning;;Y;DJGV;N;;;;;TUB;;TBB, NO;107.00;0.00;Wood;;1966-12-31;C11;1966-01-01;1992-03-25;
