CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
LTU000000035;;LTU;;;2822.00;0.00;0.00;;83.91;78.19;RADVILA;731;KL 731 RADVILA;Klaipeda;;Y;LYNX;Y;N;N;;;FX;;OTM, NK;1471.00;1305.00;Metal;;1976-03-01;MFL;1975-12-31;;
LTU000000036;;LTU;;;5953.00;0.00;0.00;;117.45;0.00;BALANDIS;650;KL 650;Klaipeda;;Y;LYOQ;N;N;N;;;FX;;OTM, NK;5296.00;663.00;Metal;;1980-06-30;MFL;1978-12-31;;
LTU000000037;;LTU;;;3951.00;0.00;0.00;;101.84;91.80;KIRAS;694;KL 694;Klaipeda;;Y;LYQR;Y;N;N;;;FX;;OTM, NK;2854.00;1040.00;Metal;;1976-01-20;MFL;1975-12-31;2004-08-27;
LTU000000038;;LTU;;;2811.00;0.00;0.00;;83.90;76.36;PELEDA;687;KL 687;Klaipeda;;Y;LYQQ;Y;N;N;;;FX;;OTM, NK;1471.00;320.00;Metal;;1973-02-23;MFL;1972-12-31;2007-05-24;
LTU000000039;;LTU;;;5955.00;0.00;0.00;;117.50;0.00;KOVAS;419;KL 419;Klaipeda;;Y;LYFO;N;N;N;7436428;;FX;;OTM, NK;5296.00;663.00;Metal;;1979-11-30;MFL;1978-12-31;;
LTU000000040;277178000;LTU;;;74.00;0.00;0.00;;23.98;22.15;LBB-6935;P-500;KL P-500;Klaipeda;;Y;LYLO;Y;N;Y;;;FX;;GNS, FPO;165.60;22.20;Metal;;1970-12-31;MFL;1970-01-01;;
LTU000000041;;LTU;;;117.00;0.00;0.00;;25.50;22.00;756;577;KL 577;Klaipeda;;Y;LYOH;Y;N;N;8729585;;FX;;OTB, OTM;220.00;35.20;Metal;;1989-12-31;MFL;1989-01-01;;
LTU000000042;;LTU;;;79.50;0.00;0.00;;23.40;22.00;JURATE;P - 324;KL P - 324;Klaipeda;;Y;LYMC;Y;N;N;;;FX;;GNS, GND;110.00;16.00;Metal;;1959-07-15;MFL;1957-12-31;2005-02-03;
LTU000000043;;LTU;;;117.00;0.00;0.00;;25.40;22.00;DARIUS;420;KL 420;Klaipeda;;Y;LYII;Y;N;N;9100956;;FX;;OTB, OTM;294.00;19.13;Metal;;1994-11-22;MFL;1992-12-31;;2019-11-08
LTU000000044;;LTU;;;58.00;0.00;0.00;;20.86;18.00;LBB - 6940;591;KL 591;Klaipeda;;Y;LYMU;Y;N;N;;;FX;;GNS, LLD;132.00;16.00;Metal;;1968-05-15;MFL;1966-12-31;2005-02-18;
