CFR;MSSI;Country of registration;Administration responsible of registration;Registration on national registry;GT Tonnage;Other tonnage;GTs;Code;LOA;LBP;Name;Registration number;External marking;Registration Place;Status on national registry;Radio;IRCS;VMS;ERS;AIS;UVI;IMO;Vessel Type;Operates at;Fishing gear;Main engine;Power of auxiliary engine;Hull material;Image;Date of entry into service;Segment;Year of construction;Year of destruction;Year of retirement
SWE000005688;;SWE;;;2.05;0.00;0.00;;5.70;0.00;No name;SFB9887;HG21;Skälderviken;;Y;SFB9887;N;Y;N;;;FX;;FPO, GNS;7.35;0.00;Wood;;1988-10-10;4M1;1970-01-01;;2001-02-25
SWE000005689;;SWE;;;1.49;0.00;0.00;;5.65;0.00;EMIL;SFB9888;GE51;Gårdskär;;Y;SFB9888;N;Y;N;;;FX;;GNS;36.77;0.00;Fiber/Plastic;;1988-10-12;MFL;1975-01-01;;
SWE000005690;;SWE;;;3.76;0.00;0.00;;8.90;0.00;No name;SFB9889;GE83;Bönan;;Y;SFB9889;N;Y;N;;;FX;;GNS;117.65;0.00;Fiber/Plastic;;1988-10-13;MFL;1986-01-01;;2019-03-14
SWE000005691;;SWE;;;0.64;0.00;0.00;;6.05;0.00;JULA;SFB9894;SM275;Nynäshamn;;Y;SFB9894;N;Y;N;;;FX;;GNS;45.00;0.00;Fiber/Plastic;;1988-10-31;MFL;1981-01-01;;2003-10-01
SWE000005692;;SWE;;;8.43;0.00;0.00;;10.37;0.00;YLVA;SFB9895;HA10;Haparanda Hamn;;Y;SFB9895;N;Y;N;;;FX;;GNS, FPO;183.82;0.00;Fiber/Plastic;;1988-11-02;MFL;1988-01-01;;2019-06-06
SWE000005693;;SWE;;;1.39;0.00;0.00;;5.90;0.00;No name;SFB9896;NRG136;Bokö;;Y;SFB9896;N;Y;N;;;FX;;FPO;7.35;0.00;Metal;;1988-11-02;4M1;1984-01-01;;1999-08-29
SWE000005695;;SWE;;;0.53;0.00;0.00;;6.10;0.00;No name;SFB9898;SIN100;Vik;;Y;SFB9898;N;Y;N;;;FX;;FPO, NO;13.24;0.00;Wood;;1988-11-02;MFL;1970-01-01;;2017-07-18
SWE000005696;;SWE;;;0.36;0.00;0.00;;6.00;0.00;No name;SFB9899;HA127;Nikkala;;Y;SFB9899;N;Y;N;;;FX;;FPO, GNS;22.00;0.00;Fiber/Plastic;;1988-11-01;MFL;1978-01-01;;
SWE000005697;;SWE;;;0.95;0.00;0.00;;5.10;0.00;No name;SFB9900;NRG137;Morsholmen;;Y;SFB9900;N;Y;N;;;FX;;GNS;5.15;0.00;Wood;;1988-11-02;MFL;1968-01-01;;2014-01-28
SWE000005703;;SWE;;;1.01;0.00;0.00;;5.40;0.00;HOMÖKAN;SFB9909;NRG3;Greece;;Y;SFB9909;N;N;N;;;FX;;FPO, GNS;7.35;0.00;Wood;;1988-11-08;MFL;1949-01-01;;
