Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
CYP;CYP000000985;;MOD;2024-01-16;2100-12-31;LL11172;LL11172;QUEEN VICTORIA AND PAPIS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GNS;GTR;;;;;5.30;0.00;1.26;0.00;0.00;44.76;0.00;3;2006-06-06;MFL;;;PA;
CYP;CYP000000986;;MOD;2025-02-12;2100-12-31;LL6508;LL6508;THEA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.80;0.00;0.27;0.00;0.00;22.38;0.00;3;1995-06-28;MFL;;;PA;
CYP;CYP000000987;;MOD;2025-02-12;2100-12-31;LL8573;LL8573;SOFIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.40;0.00;1.43;0.00;0.00;44.76;0.00;3;1999-08-03;MFL;;;PA;
CYP;CYP000000988;;RET;2012-03-22;2012-03-22;LL4464;LL4464;MPARPA GIANNHS;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.55;0.00;0.86;0.00;0.00;18.65;0.00;3;1991-06-10;MFL;;;PA;
CYP;CYP000000989;;RET;2010-03-30;2010-03-30;LL6152;LL6152;DESPOINA;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;5.20;0.00;1.24;0.00;0.00;44.76;0.00;3;1994-07-15;MFL;;;PA;
CYP;CYP000000990;;RET;2012-01-30;2012-01-30;LL1472;LL1472;BAPA;10;;;N;N;N;;;;;FX;GTR;LLD;;;;;5.00;0.00;0.76;0.00;0.00;44.76;0.00;3;1982-05-18;MFL;;;PA;
CYP;CYP000000991;;RET;2010-03-30;2010-03-30;LL5426;LL5426;IONIKOS;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.57;0.00;0.75;0.00;0.00;11.19;0.00;3;1993-04-08;MFL;;;PA;
CYP;CYP000000992;;MOD;2025-02-12;2100-12-31;LL5203;LL5203;POLLYS-MIXAHL;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.49;0.00;1.25;0.00;0.00;44.76;11.19;3;1992-08-02;MFL;;;PA;
CYP;CYP000000993;;RET;2024-06-28;2024-06-28;LL5125;LL5125;XLOH;CYLIM;Limassol New Port;;N;N;N;N;N;N;;FX;GTR;LLS;;;;;5.53;0.00;0.99;0.00;0.00;22.38;0.00;3;1992-07-22;MFL;;;PA;
CYP;CYP000000994;;MOD;2025-02-12;2100-12-31;LL4397;LL4397;MABEA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.58;0.00;0.43;0.00;0.00;18.65;0.00;3;1991-04-26;MFL;;;PA;
CYP;CYP000000995;;RET;2020-07-01;2020-07-01;LL3047;LL3047;DESPINA;10;;;N;N;N;N;;N;;FX;GTR;NK;;;;;4.55;0.00;0.80;0.00;0.00;18.65;0.00;3;1989-07-25;MFL;;;PA;
CYP;CYP000000996;;MOD;2025-02-12;2100-12-31;LL4060;LL4060;XRISTA-ATHINA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.27;0.00;1.24;0.00;0.00;37.30;2.98;3;1990-05-28;MFL;;;PA;
CYP;CYP000000997;;RET;2011-01-19;2011-01-19;LL10629;LL10629;EVANGELISTRIA;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;5.30;0.00;1.18;0.00;0.00;37.30;0.00;3;2005-04-11;MFL;;;PA;
CYP;CYP000000998;;RET;2015-05-29;2015-05-29;LL10075;LL10075;KONSTANTINOS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.57;0.00;0.63;0.00;0.00;18.65;0.00;3;2003-09-17;MFL;;;PA;
CYP;CYP000000999;;RET;2025-06-12;2025-06-12;LL7647;LL7647;XRISTINAKH 2;CYLIM;Limassol New Port;;N;N;N;N;Y;N;;FX;GTR;LLS;;;;;5.18;0.00;1.24;0.00;0.00;37.30;0.00;3;1997-11-06;MFL;;;PA;
CYP;CYP000001000;;MOD;2025-02-12;2100-12-31;LL9551;LL9551;AYIOS SERGIOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.50;0.00;1.17;0.00;0.00;29.84;11.13;3;2002-03-11;MFL;;;PA;
CYP;CYP000001001;;RET;2010-03-30;2010-03-30;LL9653;LL9653;AYIOS NICOLAOS;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.50;0.00;0.62;0.00;0.00;29.84;0.00;3;2002-06-10;MFL;;;PA;
CYP;CYP000001002;;RET;2010-03-30;2010-03-30;LL6503;LL6503;LIA;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.55;0.00;0.86;0.00;0.00;29.84;0.00;3;1995-06-28;MFL;;;PA;
CYP;CYP000001003;;RET;2010-03-30;2010-03-30;LL6999;LL6999;VASOS;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;5.48;0.00;1.25;0.00;0.00;18.65;0.00;3;1996-07-03;MFL;;;PA;
CYP;CYP000001004;;MOD;2025-02-12;2100-12-31;LL7568;LL7568;ANTONIS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;9.00;0.00;9.79;0.00;0.00;38.79;0.00;3;1997-08-28;MFL;;;PA;
CYP;CYP000001005;;MOD;2020-06-15;2100-12-31;LL8807;LL8807;AYIOS NIKOLAOS;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;6.60;0.00;1.43;0.00;0.00;57.44;0.00;1;1997-02-04;MFL;;;PA;
CYP;CYP000001006;;MOD;2024-09-27;2100-12-31;LL11383;LL11383;GEORGIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;GNS;;;;;8.93;0.00;3.78;0.00;0.00;57.44;0.00;1;2006-01-06;MFL;;;PA;
CYP;CYP000001007;;MOD;2019-01-14;2100-12-31;LL11992;LL11992;LAMPRIANA;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;9.00;0.00;4.09;0.00;0.00;57.52;0.00;1;2008-01-02;MFL;;;PA;
CYP;CYP000001008;;DES;2013-10-11;2013-10-11;LL9854;LL9854;AYIOS NEKTARIOS;10;;;N;N;N;;;;;FX;GTR;GNS;;;;;8.84;0.00;2.31;0.00;0.00;99.01;0.00;1;2003-01-15;MFL;;;AC;
CYP;CYP000001009;;MOD;2025-02-12;2100-12-31;LL4881;LL4881;ANDREAS-IRAKLIS-GEORGIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.57;0.00;0.82;0.00;0.00;4.48;0.00;3;1992-04-09;MFL;;;PA;
CYP;CYP000001010;;MOD;2025-02-12;2100-12-31;LL2984;LL2984;KOUKLA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.49;0.00;1.46;0.00;0.00;37.30;0.00;3;1989-06-05;MFL;;;PA;
CYP;CYP000001011;;RET;2010-03-30;2010-03-30;LL6651;LL6651;ANDI;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;5.00;0.00;1.19;0.00;0.00;29.84;0.00;3;1995-08-11;MFL;;;PA;
CYP;CYP000001012;;RET;2021-09-07;2021-09-07;LL5895;LL5895;CHRIS;CYLIM;Limassol New Port;;N;N;N;N;;N;;FX;LHP;GTR;;;;;5.60;0.00;0.71;0.00;0.00;37.30;0.00;3;1994-04-04;MFL;;;PA;
CYP;CYP000001013;;MOD;2025-02-12;2100-12-31;LL7466;LL7466;PIRANHA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.70;0.00;0.71;0.00;0.00;22.38;0.00;3;1997-07-02;MFL;;;PA;
CYP;CYP000001014;;MOD;2025-02-12;2100-12-31;LL8923;LL8923;KATIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.70;0.00;0.71;0.00;0.00;29.84;0.00;3;2000-05-29;MFL;;;PA;
CYP;CYP000001015;;MOD;2025-02-12;2100-12-31;LL8696;LL8696;AYIOS NIKOLAOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.57;0.00;0.80;0.00;0.00;11.19;0.00;3;1999-11-16;MFL;;;PA;
CYP;CYP000001016;;MOD;2025-02-12;2100-12-31;LL4467;LL4467;SANTA MARIA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;8.50;0.00;3.22;0.00;0.00;22.38;0.00;3;2002-04-11;MFL;;;PA;
CYP;CYP000001017;;MOD;2020-06-15;2100-12-31;LL11714;LL11714;NATIA;10;;;N;Y;N;N;;N;;FX;GTR;GNS;;;;;8.84;0.00;3.73;0.00;0.00;67.89;0.00;1;2007-07-13;MFL;;;PA;
CYP;CYP000001018;;RET;2011-09-21;2011-09-21;LL5285;LL5285;PANAGIOTHS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.57;0.00;1.00;0.00;0.00;7.39;0.00;3;1992-11-18;MFL;;;PA;
CYP;CYP000001019;;MOD;2025-02-12;2100-12-31;LL1560;LL1560;PANAYIOTIS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.55;0.00;0.78;0.00;0.00;11.19;0.00;3;1982-10-16;MFL;;;PA;
CYP;CYP000001020;;MOD;2025-02-12;2100-12-31;LL8065;LL8065;STYLIANOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.85;0.00;1.33;0.00;0.00;37.30;0.00;3;1998-11-10;MFL;;;PA;
CYP;CYP000001021;;MOD;2025-02-12;2100-12-31;LL9946;LL9946;ANTREA II;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.79;0.00;1.14;0.00;0.00;29.84;0.00;3;2003-06-10;MFL;;;PA;
CYP;CYP000001022;;RET;2013-07-08;2013-07-08;LL10481;LL10481;TRYFONAS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;5.40;0.00;1.26;0.00;0.00;37.30;0.00;3;2004-08-06;MFL;;;PA;
CYP;CYP000001023;;RET;2023-12-07;2023-12-07;LL9318;LL9318;DIONYSIOS;CYLIM;Limassol New Port;;N;N;N;N;N;N;;FX;GNS;LLS;;;;;5.00;0.00;1.16;0.00;0.00;18.65;0.00;3;2001-06-05;MFL;;;PA;
CYP;CYP000001024;;MOD;2025-02-12;2100-12-31;LL7135;LL7135;KAPSALOS;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.80;0.00;0.21;0.00;0.00;29.84;0.00;3;1996-08-19;MFL;;;PA;
CYP;CYP000001025;;RET;2015-05-29;2015-05-29;LL9651;LL9651;AYIOS NIKOLAOS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.96;0.00;0.82;0.00;0.00;29.84;0.00;3;2002-07-26;MFL;;;PA;
CYP;CYP000001026;;RET;2020-05-29;2020-05-29;LL4305;LL4305;DELFINI;10;;;N;N;N;N;;N;;FX;GTR;LLS;;;;;4.50;0.00;0.61;0.00;0.00;18.65;0.00;3;1991-02-01;MFL;;;PA;
CYP;CYP000001027;;RET;2017-01-23;2017-01-23;LL4182;LL4182;GINA;10;;;N;N;N;;;;;FX;GTR;NK;;;;;4.55;0.00;0.63;0.00;0.00;18.65;0.00;3;1990-08-03;MFL;;;PA;
CYP;CYP000001028;;RET;2011-05-03;2011-05-03;LL2838;LL2838;ELENA;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;5.00;0.00;1.00;0.00;0.00;28.65;0.00;3;1989-12-23;MFL;;;PA;
CYP;CYP000001029;;RET;2023-06-15;2023-06-15;LL9299;LL9299;KAPETAN ANTHOYLA;CYLIM;Limassol New Port;;N;N;N;N;;N;;FX;GTR;LLS;;;;;5.18;0.00;1.08;0.00;0.00;22.38;0.00;3;2001-05-18;MFL;;;PA;
CYP;CYP000001030;;MOD;2025-02-12;2100-12-31;LL5925;LL5925;KATERINA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.00;0.00;0.59;0.00;0.00;18.65;0.00;3;1994-03-28;MFL;;;PA;
CYP;CYP000001031;;MOD;2025-02-12;2100-12-31;LL11933;LL11933;XRYSOBALANTO;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.30;0.00;1.26;0.00;0.00;44.76;0.00;3;2007-11-26;MFL;;;PA;
CYP;CYP000001032;;RET;2023-06-15;2023-06-15;LL7658;LL7658;ROULLA 2;CYLIM;Limassol New Port;;N;N;N;N;;N;;FX;GTR;LLS;;;;;4.75;0.00;1.37;0.00;0.00;29.84;0.00;3;2000-05-29;MFL;;;PA;
CYP;CYP000001033;;RET;2010-03-30;2010-03-30;LL4620;LL4620;INTIANA;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.70;0.00;0.73;0.00;0.00;18.65;0.00;3;2001-08-29;MFL;;;PA;
CYP;CYP000001034;;MOD;2025-02-12;2100-12-31;LL11502;LL11502;SAK;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;4.40;0.00;0.51;0.00;0.00;18.65;0.00;3;2007-03-30;MFL;;;PA;
CYP;CYP000001035;;RET;2013-07-08;2013-07-08;LL6275;LL6275;PANORMHTHS;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.57;0.00;1.08;0.00;0.00;14.92;0.00;3;1994-10-04;MFL;;;PA;
CYP;CYP000001036;;RET;2012-03-22;2012-03-22;LL5134;LL5134;KYBELH;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;4.55;0.00;0.64;0.00;0.00;18.65;0.00;3;1992-07-22;MFL;;;PA;
CYP;CYP000001037;;MOD;2020-06-15;2100-12-31;LL11229;LL11229;KOYPPINA III;10;;;N;Y;N;N;;N;;FX;LLS;GTR;;;;;5.30;0.00;1.26;0.00;0.00;44.76;0.00;3;2006-07-07;MFL;;;PA;
CYP;CYP000001038;;RET;2010-07-12;2010-07-12;LL2711;LL2711;JUMPY;10;;;N;N;N;;;;;FX;GNS;LHP;;;;;5.10;0.00;2.22;0.00;0.00;37.30;0.00;3;1988-08-09;MFL;;;PA;
CYP;CYP000001039;;RET;2011-01-03;2011-01-03;LL10634;LL10634;APHRODITH;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.50;0.00;0.58;0.00;0.00;37.30;0.00;3;2005-04-13;MFL;;;PA;
CYP;CYP000001040;;RET;2013-07-08;2013-07-08;LL7663;LL7663;AYIOS NIKOLAOS;10;;;N;N;N;;;;;FX;GTR;LLS;;;;;4.85;0.00;0.90;0.00;0.00;29.84;0.00;3;1997-12-18;MFL;;;PA;
CYP;CYP000001041;;RET;2017-01-23;2017-01-23;LL5182;LL5182;KATERINA;10;;;N;N;N;;;;;FX;GTR;NK;;;;;6.70;0.00;1.62;0.00;0.00;4.48;0.00;1;1992-06-08;MFL;;;PA;
CYP;CYP000001042;;RET;2020-05-29;2020-05-29;LL7784;LL7784;ORKA NO 1;10;;;N;N;N;N;;N;;FX;LHP;GTR;;;;;10.00;0.00;6.45;0.00;0.00;39.54;0.00;3;1998-09-04;MFL;;;PA;
CYP;CYP000001043;;MOD;2025-02-12;2100-12-31;LL6773;LL6773;KALOGREA;CYLIM;Limassol New Port;;N;Y;N;N;Y;N;;FX;GTR;LLS;;;;;5.50;0.00;0.96;0.00;0.00;44.76;0.00;3;1995-03-12;MFL;;;PA;
