Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
FRA;FRA000890598;;RET;2017-06-02;2017-06-02;890598;FF 890598;SA SE TA NOU;FF;;FGB2866;Y;Y;N;;;;;FX;FPO;NO;;;;;7.00;0.00;1.61;2.67;0.00;85.00;0.00;3;2003-11-24;4FJ;;;PA;2003-01-01
FRA;FRA000890599;;MOD;2024-12-10;2100-12-31;890599;FF890599;LA FIN DES TEMPS;MQFDF;Fort-De-France;FGB2868;Y;Y;N;N;Y;Y;347002550;FX;FPO;NO;;;;;7.80;0.00;3.89;4.44;0.00;221.00;0.00;3;2003-12-03;4FJ;;;;2003-01-01
FRA;FRA000890600;;CHA;2025-06-05;2100-12-31;890600;FF890600;NENETTE;MQFDF;Fort-De-France;FGB3367;Y;Y;N;N;Y;Y;347009830;FX;FPO;NO;;;;;6.10;0.00;0.78;1.29;0.00;18.00;0.00;3;2003-12-04;4FJ;;;;2003-01-01
FRA;FRA000890601;;MOD;2025-03-07;2100-12-31;890601;FF890601;JUSQU'AU BOUT;MQFDF;Fort-De-France;FGB2867;Y;Y;N;N;Y;Y;347002540;WO;FPO;NO;;;;;7.30;0.00;2.17;2.23;0.00;103.00;0.00;3;2003-12-04;4FJ;;;;2003-01-01
FRA;FRA000890602;;RET;2015-02-12;2015-02-12;890602;FF 890602;L'UNIVERS III;FF;;;N;Y;N;;;;;FX;LLS;NO;;;;;5.60;0.00;1.45;2.27;0.00;52.00;0.00;3;2004-01-05;4FJ;;;PA;2002-01-01
FRA;FRA000890604;;RET;2015-02-11;2015-02-11;890604;FF 890604;CYRIL;FF;;;N;Y;N;;;;;FX;FPO;NO;;;;;6.20;0.00;1.30;2.03;0.00;55.00;0.00;3;2003-12-17;4FJ;;;PA;2003-01-01
FRA;FRA000890605;;RET;2025-03-25;2025-03-25;890605;FF890605;VEILLER ZA FERE;MQFDF;Fort-De-France;FAC6770;Y;N;N;N;Y;Y;347015340;WO;FPO;NO;;;;;6.20;0.00;0.74;1.29;0.00;29.00;0.00;3;2003-12-30;4FJ;;;PA;2003-01-01
FRA;FRA000890606;;RET;2025-03-25;2025-03-25;890606;FF890606;SAINT-MICHEL A;MQFDF;Fort-De-France;FGB2908;Y;N;N;N;Y;Y;347003230;WO;FPO;NO;;;;;7.00;0.00;1.61;2.67;0.00;85.00;0.00;3;2004-01-08;4FJ;;;PA;2003-01-01
FRA;FRA000890608;;RET;2008-01-01;2008-01-01;890608;FF 890608;AN MWOUE;FF;;;N;Y;N;;;;;FX;FPO;NO;;;;;6.33;0.00;0.75;1.58;0.00;29.00;0.00;3;2004-01-22;4FJ;;;PA;2004-01-01
FRA;FRA000890609;;MOD;2025-06-06;2100-12-31;890609;FF890609;JO ET PAT;MQFDF;Fort-De-France;;N;Y;N;N;Y;N;;FX;FPO;NO;;;;;6.27;0.00;0.77;1.50;0.00;37.00;0.00;3;2004-02-06;4FJ;;;;2001-01-01
FRA;FRA000890610;;RET;2015-02-12;2015-02-12;890610;FF 890610;DYNAMER;FF;;FGD5220;Y;Y;N;;;;;FX;FPO;NO;;;;;8.75;0.00;3.61;4.40;0.00;147.00;0.00;3;2004-02-10;4FJ;;;PA;2003-01-01
FRA;FRA000890612;;RET;2015-02-12;2015-02-12;890612;FF 890612;DO IT;FF;;FGD5137;Y;Y;N;;;;;FX;FPO;NO;;;;;8.00;0.00;0.92;3.10;0.00;169.00;0.00;3;2004-02-23;4FJ;;;PA;2004-01-01
FRA;FRA000890614;;MOD;2025-03-31;2100-12-31;890614;FF890614;SPINNING;MQFDF;Fort-De-France;FGB2885;Y;Y;N;N;Y;Y;347002880;FX;FPO;NO;;;;;6.75;0.00;2.00;2.99;0.00;85.00;0.00;3;2004-03-09;4FJ;;;;2004-01-01
FRA;FRA000890622;;MOD;2024-12-10;2100-12-31;890622;FF890622;MAEL;MQFDF;Fort-De-France;FGB2982;Y;Y;N;N;Y;Y;347004190;WO;FPO;NO;;;;;7.00;0.00;2.15;2.08;0.00;110.00;0.00;3;2004-03-17;4FJ;;;;2004-01-01
FRA;FRA000890623;;RET;2018-01-16;2018-01-16;890623;FF 890623;SABLE FIN;FF;;;N;Y;N;;;;;FX;FPO;NO;;;;;6.20;0.00;0.74;1.26;0.00;35.00;0.00;3;2004-04-15;4FJ;;;PA;1998-01-01
FRA;FRA000890624;;MOD;2024-12-10;2100-12-31;890624;FF890624;FOURTH WORLD II;MQFDF;Fort-De-France;FGB3003;Y;Y;N;N;Y;N;;FX;FPO;NO;;;;;7.89;0.00;3.95;4.49;0.00;166.00;0.00;3;2004-05-11;4FJ;;;;2004-01-01
FRA;FRA000890837;;MOD;2021-05-12;2100-12-31;890837;ST890837;MAGUY I;FRSET;Sète;;N;Y;N;N;;N;;FX;GNS;DRB;GTR;;;;5.70;0.00;0.98;1.63;0.00;29.00;0.00;3;2003-10-13;MFL;;;;1993-01-01
FRA;FRA000891309;;RET;2008-01-01;2008-01-01;891309;PP 891309;BARON ROUGE;PP;;FGE6715;Y;Y;N;;;;;FX;FPO;NO;;;;;7.25;0.00;2.75;3.47;0.00;102.00;0.00;3;2006-05-19;4FL;;;PA;1996-01-01
FRA;FRA000892761;;MOD;2024-12-10;2100-12-31;892761;ST892761;DIEGO II;FRSET;Sète;FAG5343;Y;Y;N;N;Y;Y;227948990;FX;GNS;LLS;;;;;6.10;0.00;1.74;0.00;0.00;74.00;0.00;6;2015-12-07;MFL;;;;1996-01-01
FRA;FRA000893425;;MOD;2024-12-10;2100-12-31;893425;LS893425;ROZENNE;FRLSO;Les Sables-D'Olonne;;N;Y;N;N;Y;Y;227062010;LO;LLS;FPO;GNS;;;;7.38;0.00;3.95;5.04;0.00;89.00;0.00;2;2010-04-09;MFL;;;;1995-01-01
FRA;FRA000893427;;MOD;2024-12-10;2100-12-31;893427;AY893427;ESPERANZA;FRZEG;Auray;FGF4708;Y;Y;N;N;Y;N;;FX;LHP;LTL;;;;;6.04;0.00;0.05;2.62;0.00;85.00;0.00;2;2019-03-18;MFL;;;;1995-01-01
FRA;FRA000893429;;DES;2025-09-12;2025-09-12;893429;VA893429;L'ABALONE;FRVNE;Vannes;FGF6109;Y;N;N;N;Y;N;;WO;FPO;GNS;LLD;;;;5.20;0.00;0.80;1.80;0.00;59.00;0.00;3;1997-05-12;MFL;;;PA;1997-01-01
FRA;FRA000893430;;MOD;2024-12-10;2100-12-31;893430;SB893430;AURIVERDE;FRSBK;Saint-Brieuc;FW8280;Y;Y;N;N;Y;Y;227061850;GO;GTR;FPO;LLS;GNS;;;6.05;0.00;1.00;1.97;0.00;59.00;0.00;3;1997-04-14;MFL;;;;1997-01-01
FRA;FRA000893431;;RET;2003-11-10;2003-11-10;893431;AY 893431;BEG AN AER;AY;;FW8051;Y;Y;N;;;;;FX;LLD;GTR;;;;;7.70;0.00;3.12;3.15;0.00;73.00;0.00;3;1998-11-02;MFL;;;PA;1998-01-01
FRA;FRA000893986;;MOD;2025-07-18;2100-12-31;893986;AY893986;WAKAME;FRZEG;Auray;FAF8689;Y;Y;N;N;Y;Y;228070610;FX;LLS;GN;;;;;5.93;0.00;1.78;2.95;0.00;66.00;0.00;3;2020-06-02;MFL;;;;1997-01-01
FRA;FRA000894000;;MOD;2024-12-10;2100-12-31;894000;AY894000;KERLOC'H;FRZEG;Auray;FGG5815;Y;Y;N;N;Y;Y;227933280;NO;LNB;GTR;LLS;;;;6.23;0.00;1.17;2.39;0.00;66.00;0.00;3;2016-03-22;MFL;;;;1997-01-01
FRA;FRA000894005;;MOD;2024-12-10;2100-12-31;894005;BR894005;MESKLEC;FRBES;Brest;FAA2487;Y;Y;N;N;Y;Y;227178380;LO;LHM;NO;;;;;6.32;0.00;2.44;2.44;0.00;110.00;0.00;2;2023-03-06;MFL;;;;1998-01-01
FRA;FRA000894008;;MOD;2024-12-10;2100-12-31;894008;LO894008;KAMAQ;FRLRT;Lorient;;N;Y;N;N;Y;N;;FX;GTN;FPO;;;;;6.92;0.00;2.56;2.58;0.00;110.00;0.00;2;2023-07-21;MFL;;;;1998-01-01
FRA;FRA000894015;;MOD;2024-12-10;2100-12-31;894015;LO894015;PEN KALET;FRLRT;Lorient;FAA5890;Y;Y;N;N;Y;N;;GO;GTR;NO;;;;;5.20;0.00;1.90;1.90;0.00;18.00;0.00;1;2015-04-16;MFL;;;;1998-01-01
