country_code_iso2;region;locode;port_name;latitude;longitude;facade;fao_areas;is_active;coordinates;source
DE;;DEANK;Anklam;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DESHE;Seeheim-Jugenheim;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IESXL;Sligo Apt;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DENIN;Nierstein;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DESLM;Schwelm;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLHVO;Helvoirt;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
AT;;ATJUN;Jungholz;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEMUL;Mühlacker;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLZLK;Zalk;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLSHH;Schoonhoven;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLWRT;Weert;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLDZK;De Zilk;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHMR;Hemer;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEFRG;Freising;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLDLR;De Lier;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEBIL;Billingsfors;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEMNZ;Monzingen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLGLA;Glanerbrug;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IEWAL;Walkinstown;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBOT;Bottrop;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DENOH;Nörten-Hardenberg;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEFSS;Füssen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHHS;Hohenhorn;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEANK;Ankarsvik;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEDOF;Dorfen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DESHM;Schopfheim;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLBEG;Bergen Aan Zee;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEESL;Esslingen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHWE;Hoyerswerda;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IEABB;Abbeyleix;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IT;;ITFRL;Forli;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHVN;Hückelhoven;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
HR;;HRMTN;Metajna;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLLEY;Lelystad;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
