sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aci Bonaccorsi;37.6,15.11666667,0.000001;ITAC2;IT;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aci Castello;37.55,15.133333,0.000001;ITACL;IT;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aci Trezza;37.563611,15.161389,0.000001;ITACT;IT;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ada Bahcha;43.128591,27.932805,0.000001;BGADB;BG;{37.4.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Adamantas;36.725,24.426,0.000001;GRADA;GR;{37.3.1}
WPI;Adler;43.433333,39.933333,0.000001;;Russia - Russia -- 44030;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Admirali Väikesadam;58.529,23.678,0.000001;EEADV;EE;{27.3.d.28.1}},{{27.3.d.29}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ado-Kusta;59.6225,25.77638889,0.000001;EEADK;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ado-Peetri;59.62305556,25.77416667,0.000001;EEADP;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Adour (Ensemble de communes);43.48,-1.48,0.000001;FRAOO;FR - 64;{27.8.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db,WPI;Adra;36.733333,-3.033333,0.000001;ESADR;Spain - Spain SE Coast -- 38340;{37.1.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aegna;59.57138889,24.7575,0.000001;EEAEN;EE;{27.3.d.32}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aelvsered;57.2333333333333,12.85,0.000001;SEAEL;SE;{27.3.a.21}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aerdenhout;;NLAEH;NL;
WPI;Aeroskobing;54.883333,10.416667,0.000001;;Denmark - Aero -- 29780;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aerzen;;DEAER;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Afurada;41.13333333,-8.633333333,0.000001;PTAFR;PT;{27.9.a}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agaete;28.09909601,-15.71244396,0.000001;ESAGA;ES;{34.1.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agathonisi;37.46,26.97,0.000001;GRAGA;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agde;43.3088031,3.4768109,0.000001;FRAGD;FR - 34;{37.1.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agen;44.203142,0.616363,0.000001;FRAGF;FR - 47;{37.1.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agernæs;55.1833,10.0,0.000001;DKAGN;DK;{27.3.b},{c}},{{27.3.c.22}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agersø;55.212,11.1915,0.000001;DKAGO;DK;{27.3.b},{c}},{{27.3.c.22}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agerø;56.7215,8.5759,0.000001;DKAGA;DK;{27.4.b}
