PUERTO BASE;AÑO;NUM_BARCOS
Benicarlo;2008;38
Benicarlo;2009;36
Benicarlo;2010;32
Benicarlo;2011;33
Benicarlo;2012;31
Benicarlo;2013;31
Benicarlo;2014;29
Benicarlo;2015;31
Benicarlo;2016;31
Benicarlo;2017;31
Benicarlo;2018;30
Benicarlo;2019;27
Benicarlo;2020;26
Benicarlo;2021;25
Benicarlo;2022;24
Benicarlo;2023;23
Benicarlo;2024;23
Benicarlo;2025;21
Benidorm;2006;3
Benidorm;2007;3
Benidorm;2008;2
Benidorm;2009;2
Benidorm;2010;2
Benidorm;2011;2
Benidorm;2012;2
Benidorm;2013;2
Benidorm;2014;2
Benidorm;2015;2
Benidorm;2016;2
Benidorm;2017;2
Benidorm;2018;2
Benidorm;2019;3
Benidorm;2020;3
Benidorm;2021;3
Benidorm;2022;3
Benidorm;2023;3
Benidorm;2024;3
Benidorm;2025;3
Bermeo;2006;88
Bermeo;2007;83
Bermeo;2008;78
Bermeo;2009;73
Bermeo;2010;70
Bermeo;2011;62
Bermeo;2012;58
Bermeo;2013;58
Bermeo;2014;53
Bermeo;2015;52
Bermeo;2016;53
Bermeo;2017;52
Bermeo;2018;55
Bermeo;2019;57
Bermeo;2020;59
Bermeo;2021;59
Bermeo;2022;57
Bermeo;2023;55
Bermeo;2024;51
Bermeo;2025;51
Bilbao;2009;1
Bilbao;2010;1
Bilbao;2011;1
Bilbao;2012;1
Bilbao;2013;1
Bilbao;2014;1
Bilbao;2015;1
Bilbao;2016;1
Bilbao;2017;1
Bilbao;2018;1
Bilbao;2019;1
Bilbao;2020;1
Bilbao;2021;1
Bilbao;2022;1
Bilbao;2023;1
Bilbao;2024;1
Bilbao;2025;1
Blanes;2006;62
Blanes;2007;61
Blanes;2008;60
Blanes;2009;58
Blanes;2010;59
Blanes;2011;55
Blanes;2012;56
Blanes;2013;57
Blanes;2014;55
Blanes;2015;54
Blanes;2016;53
Blanes;2017;51
Blanes;2018;48
Blanes;2019;47
Blanes;2020;47
Blanes;2021;45
Blanes;2022;44
Blanes;2023;44
Blanes;2024;45
Blanes;2025;42
Bouzas;2006;4
Bouzas;2007;3
Bouzas;2008;1
Bouzas;2009;1
Bouzas;2010;1
Buenavista;2006;2
Buenavista;2007;2
Buenavista;2008;1
Buenavista;2009;1
Bueu;2006;153
Bueu;2007;151
Bueu;2008;146
Bueu;2009;146
Bueu;2010;147
Bueu;2011;145
Bueu;2012;142
Bueu;2013;137
Bueu;2014;136
Bueu;2015;131
Bueu;2016;132
Bueu;2017;129
Bueu;2018;127
Bueu;2019;123
Bueu;2020;121
Bueu;2021;116
Bueu;2022;113
Bueu;2023;111
Bueu;2024;108
Bueu;2025;105
Burela;2006;104
Burela;2007;108
Burela;2008;101
Burela;2009;95
Burela;2010;87
Burela;2011;87
Burela;2012;81
Burela;2013;79
Burela;2014;83
Burela;2015;77
Burela;2016;77
Burela;2017;77
Burela;2018;79
Burela;2019;76
Burela;2020;74
Burela;2021;77
Burela;2022;78
Burela;2023;78
Burela;2024;78
Burela;2025;75
Burriana;2006;39
Burriana;2007;39
Burriana;2008;39
Burriana;2009;36
Burriana;2010;39
Burriana;2011;33
Burriana;2012;33
Burriana;2013;31
Burriana;2014;32
Burriana;2015;33
Burriana;2016;32
Burriana;2017;30
Burriana;2018;28
Burriana;2019;27
Burriana;2020;28
Burriana;2021;29
Burriana;2022;27
Burriana;2023;25
Burriana;2024;25
Burriana;2025;25
Bustio;2006;8
Bustio;2007;8
Bustio;2008;9
Bustio;2009;8
Bustio;2010;7
Bustio;2011;7
Bustio;2012;7
Bustio;2013;7
Bustio;2014;7
Bustio;2015;6
Bustio;2016;7
Bustio;2017;8
Bustio;2018;8
Bustio;2019;8
Bustio;2020;7
Bustio;2021;7
Bustio;2022;7
Bustio;2023;7
Bustio;2024;8
Bustio;2025;8
Cabo de Cruz - Boiro;2006;142
Cabo de Cruz - Boiro;2007;135
Cabo de Cruz - Boiro;2008;117
Cabo de Cruz - Boiro;2009;117
Cabo de Cruz - Boiro;2010;114
Cabo de Cruz - Boiro;2011;112
Cabo de Cruz - Boiro;2012;108
Cabo de Cruz - Boiro;2013;95
Cabo de Cruz - Boiro;2014;94
Cabo de Cruz - Boiro;2015;93
Cabo de Cruz - Boiro;2016;93
Cabo de Cruz - Boiro;2017;90
Cabo de Cruz - Boiro;2018;89
Cabo de Cruz - Boiro;2019;90
Cabo de Cruz - Boiro;2020;90
Cabo de Cruz - Boiro;2021;90
Cabo de Cruz - Boiro;2022;91
Cabo de Cruz - Boiro;2023;89
Cabo de Cruz - Boiro;2024;89
Cabo de Cruz - Boiro;2025;90
Cadaques;2006;22
Cadaques;2007;15
Cadaques;2008;12
Cadaques;2009;12
Cadaques;2010;12
Cadaques;2011;12
Cadaques;2012;12
Cadaques;2013;11
Cadaques;2014;7
Cadaques;2015;7
Cadaques;2016;7
Cadaques;2017;7
Cadaques;2018;5
Cadaques;2019;5
Cadaques;2020;5
Cadaques;2021;5
Cadaques;2022;5
Cadaques;2023;4
Cadaques;2024;4
Cadaques;2025;4
Cadiz;2006;38
Cadiz;2007;36
Cadiz;2008;28
Cadiz;2009;27
Cadiz;2010;25
Cadiz;2011;23
Cadiz;2012;22
Cadiz;2013;16
Cadiz;2014;15
Cadiz;2015;14
Cadiz;2016;11
Cadiz;2017;11
Cadiz;2018;9
Cadiz;2019;9
Cadiz;2020;9
Cadiz;2021;7
Cadiz;2022;7
Cadiz;2023;8
Cadiz;2024;7
Cadiz;2025;8
Cala Ratjada;2006;33
Cala Ratjada;2007;30
Cala Ratjada;2008;30
Cala Ratjada;2009;29
Cala Ratjada;2010;29
Cala Ratjada;2011;27
Cala Ratjada;2012;27
Cala Ratjada;2013;27
Cala Ratjada;2014;23
Cala Ratjada;2015;23
Cala Ratjada;2016;21
Cala Ratjada;2017;17
Cala Ratjada;2018;16
Cala Ratjada;2019;15
Cala Ratjada;2020;15
Cala Ratjada;2021;15
